City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
185,Bocas Del Toro,PA,9.3333,-82.25,82.17,72,29,9.24,scattered clouds
186,Tadine,NC,-21.55,167.8833,79.21,85,100,12.62,overcast clouds
187,Seredka,RU,58.1584,28.1858,35.35,84,85,6.78,overcast clouds
188,Auki,SB,-8.7676,160.7034,76.69,89,91,8.16,overcast clouds
189,Vrangel,RU,42.7297,133.0839,38.07,94,4,2.37,clear sky
190,Seoul,KR,37.5683,126.9778,42.24,82,0,3.44,mist
191,Portland,US,45.5234,-122.6762,51.91,75,100,8.01,overcast clouds
192,Panaba,MX,21.2833,-88.2667,98.4,28,8,8.5,clear sky
193,Panacan,PH,9.2463,118.4082,79.43,83,100,8.7,overcast clouds
194,Bambous Virieux,MU,-20.3428,57.7575,79.05,78,75,10.36,broken clouds
195,Senanga,ZM,-16.1167,23.2667,73.99,63,100,2.89,overcast clouds
196,Batagay-Alyta,RU,67.8006,130.4114,-0.04,99,99,3.38,overcast clouds
197,Shache,CN,38.4167,77.2406,63.37,16,96,5.39,overcast clouds
198,Iguaba Grande,BR,-22.8392,-42.2289,84.24,74,75,9.22,broken clouds
199,Yeppoon,AU,-23.1333,150.7333,69.58,72,1,11.18,clear sky
200,Virginia Beach,US,36.8529,-75.978,70.05,37,12,14.58,few clouds
201,Bom Jesus,BR,-9.0744,-44.3586,94.69,31,54,6.67,broken clouds
202,Constitucion,CL,-35.3333,-72.4167,62.91,42,1,19.71,clear sky
203,Karratha,AU,-20.7377,116.8463,81.66,71,0,11.21,clear sky
204,Gaoual,GN,11.75,-13.2,102.18,14,75,6.69,broken clouds
205,Davila,PH,18.4726,120.5763,76.69,85,89,30.65,overcast clouds
206,Tarko-Sale,RU,64.9225,77.785,1.6,98,50,7.78,scattered clouds
207,Houlton,US,46.1262,-67.8403,43.21,28,0,6.91,clear sky
208,Kahului,US,20.8947,-156.47,73.85,75,40,14.97,scattered clouds
209,Mubi,NG,10.2676,13.2644,91.42,8,86,2.91,overcast clouds
210,Port Hardy,CA,50.6996,-127.4199,41.18,93,75,4.61,broken clouds
211,Korla,CN,41.7597,86.1469,58.77,23,0,2.75,clear sky
212,Nokia,FI,61.4667,23.5,31.98,75,100,9.22,overcast clouds
213,Berlevag,NO,70.8578,29.0864,26.6,62,100,15.48,overcast clouds
214,Tuatapere,NZ,-46.1333,167.6833,46.71,93,73,2.82,broken clouds
215,Axim,GH,4.8699,-2.2405,82.62,83,100,11.61,overcast clouds
216,Yulara,AU,-25.2406,130.9889,62.44,29,0,6.91,clear sky
217,Arman,RU,59.7,150.1667,3.83,92,48,6.49,scattered clouds
218,Salalah,OM,17.0151,54.0924,82.49,69,0,2.3,clear sky
219,Hearst,CA,49.6835,-83.6665,30.45,87,100,6.93,overcast clouds
220,Port Shepstone,ZA,-30.7414,30.455,74.12,87,49,6.44,scattered clouds
221,Valday,RU,57.9747,33.2525,24.28,91,50,3.76,scattered clouds
222,Ambovombe,MG,-25.1667,46.0833,73.87,86,1,12.41,clear sky
223,Vostok,RU,46.4856,135.8833,28.2,82,0,7.05,clear sky
224,Otofuke,JP,42.9917,143.2003,33.51,70,0,4.27,clear sky
225,Strezhevoy,RU,60.7333,77.5889,23.07,90,100,10.18,overcast clouds
226,Mandalgovi,MN,45.7625,106.2708,41.92,25,100,10.87,overcast clouds
227,Nemuro,JP,43.3236,145.575,35.33,83,0,14.9,clear sky
228,Broome,US,42.2506,-75.833,41.67,82,100,6.91,heavy intensity rain
229,Shima,CN,24.4478,117.8111,55.42,64,0,2.21,clear sky
230,Hithadhoo,MV,-0.6,73.0833,83.53,69,37,5.44,scattered clouds
231,Palora,EC,-1.7,-77.9333,78.91,66,73,5.28,light rain
232,Kyenjojo,UG,0.6328,30.6214,68.7,68,89,2.3,overcast clouds
233,Kincardine,GB,56.0667,-3.7167,45.52,85,100,15.59,overcast clouds
234,Svetlaya,RU,46.5389,138.3297,36.1,78,0,8.14,clear sky
235,Ponta Do Sol,PT,32.6667,-17.1,61.72,81,100,14.0,overcast clouds
236,Iqaluit,CA,63.7506,-68.5145,26.33,86,75,23.02,broken clouds
237,Khilok,RU,51.3674,110.4676,21.74,95,91,1.92,overcast clouds
238,Asyut,EG,27.181,31.1837,86.18,10,100,10.83,overcast clouds
239,Ishigaki,JP,24.3448,124.1572,68.13,83,75,24.16,broken clouds
240,Codrington,AU,-38.2667,141.9667,58.95,83,96,5.14,overcast clouds
241,Lagoa,PT,39.05,-27.9833,59.13,80,4,18.05,clear sky
242,Severo-Kurilsk,RU,50.6789,156.125,29.66,86,23,12.26,few clouds
243,Yarkovo,RU,57.4028,67.0786,37.67,98,100,9.01,overcast clouds
244,Isangel,VU,-19.55,169.2667,80.04,84,100,7.81,overcast clouds
245,Salekhard,RU,66.53,66.6019,9.27,91,82,7.96,broken clouds
246,Kawhia,NZ,-38.0651,174.8183,58.39,94,20,3.06,few clouds
247,Jinchang,CN,38.4953,102.1739,50.32,13,99,6.55,overcast clouds
248,Christchurch,NZ,-43.5333,172.6333,60.94,85,100,3.44,overcast clouds
249,Olinda,BR,-8.0089,-34.8553,83.93,74,40,6.91,scattered clouds
250,Seara,PT,41.1818,-7.8003,52.95,38,45,11.27,scattered clouds
251,Magadan,RU,59.5667,150.8,3.63,91,63,4.38,broken clouds
252,Noumea,NC,-22.2763,166.4572,82.0,99,99,11.48,overcast clouds
253,Bathsheba,BB,13.2167,-59.5167,81.21,69,75,18.41,broken clouds
254,Aswan,EG,24.0934,32.907,97.9,13,99,5.75,overcast clouds
255,Lulea,SE,65.5842,22.1547,23.07,93,0,4.61,clear sky
256,Bengkulu,ID,-3.8004,102.2655,76.96,83,71,4.21,broken clouds
257,Port Lincoln,AU,-34.7333,135.8667,59.45,83,25,1.16,scattered clouds
258,Deder,ET,9.3167,41.45,64.31,46,93,2.26,overcast clouds
259,Saint-Philippe,RE,-21.3585,55.7679,74.79,91,99,15.73,moderate rain
260,Sembe,CG,1.6481,14.5806,72.37,92,91,2.68,light rain
261,Bijar,IR,35.8668,47.6051,57.09,34,24,10.04,few clouds
