City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
556,Hambantota,LK,80.02,few clouds,6.1241,81.1185,Bungalow 63
558,Namibe,AO,72.23,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
561,Necochea,AR,66.16,broken clouds,-38.5473,-58.7368,dyd -mar Hotel
565,Tautira,PF,81.14,light rain,-17.7333,-149.15,Pension Oaoa
566,Moerai,PF,81.01,broken clouds,-22.4333,-151.3333,Le Manotel
569,Kieta,PG,78.33,light rain,-6.2167,155.6333,Uruna Bay Retreat
572,Hervey Bay,AU,69.03,clear sky,-25.2986,152.8535,Shelly Bay Resort
573,Rolante,BR,74.35,light rain,-29.6506,-50.5758,Hotel Tadiotto
575,Kerrville,US,80.55,clear sky,30.0474,-99.1403,Inn Of The Hills Hotel & Conference Center
578,Bambanglipuro,ID,76.69,overcast clouds,-7.95,110.2833,Puri Brata
579,Basoko,CD,74.88,light rain,1.2391,23.616,Jackyna Hotel
581,Los Llanos De Aridane,ES,65.95,few clouds,28.6585,-17.9182,Valle Aridane
583,Beira,MZ,80.69,few clouds,-19.8436,34.8389,Beira Terrace Hotel
584,Bure,ET,72.09,broken clouds,10.7,37.0667,Holiday
586,Lufilufi,WS,74.98,scattered clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
591,Christiana,ZA,66.42,moderate rain,-27.914,25.1611,At-Neli Guesthouse
592,Durango,MX,77.58,scattered clouds,24.8333,-104.8333,
595,Payo,ID,73.51,light rain,-3.7508,103.6372,Mess keban agung
597,Austin,US,84.47,clear sky,30.2672,-97.7431,The Driskill - In the Unbound Collection by Hyatt
603,Gold Coast,AU,71.01,scattered clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
604,Lodja,CD,72.18,broken clouds,-3.4833,23.4333,
606,Ambilobe,MG,74.73,moderate rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
607,Lucapa,AO,67.96,light rain,-8.4192,20.7447,Residência Ulisses Dos Santos
613,Mabaruma,GY,84.42,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
614,Bonthe,SL,83.08,broken clouds,7.5264,-12.505,Bonthe Holiday Village
616,Isugod,PH,78.15,light rain,9.3408,118.1196,
621,Praxedis Guerrero,MX,77.83,scattered clouds,31.3667,-106.0167,Congregación placitas de Otero
623,Khed Brahma,IN,84.56,clear sky,24.0333,73.05,UMIYA NASTA HOUSE
626,Shenzhen,CN,65.98,clear sky,22.5455,114.0683,Grand Skylight
628,Luau,AO,67.37,overcast clouds,-10.7073,22.2247,Casa- Bernardo Cândido
630,Ahuimanu,US,77.36,overcast clouds,21.4447,-157.8378,Paradise Bay Resort
634,Caiaponia,BR,84.18,clear sky,-16.9567,-51.8103,HOTEL PALACE AVENIDA & CAIAPÓ TURISMO
635,Tual,ID,81.9,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
636,Carutapera,BR,82.72,moderate rain,-1.195,-46.02,Lidera
637,Bintulu,MY,76.91,overcast clouds,3.1667,113.0333,900 Boutique INN
639,Gunjur,GM,69.91,overcast clouds,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
644,South Venice,US,76.26,haze,27.0531,-82.4243,"Island Sun Inn & Suites - Venice, Florida Historic Downtown & Beach Getaway"
647,Daram,PH,77.27,light rain,11.6341,124.7947,Harriet's Traveler's Lodge
648,Russell,US,73.11,clear sky,32.3502,-85.1999,Macs
650,Mae Tha,TH,74.61,scattered clouds,18.4646,99.1403,Pichamol Resort and Nursing Home
653,Malayal,PH,78.8,overcast clouds,7.208,121.942,
659,Gat,IL,74.39,broken clouds,31.61,34.7642,OlusHome
660,Benjamin Constant,BR,84.9,overcast clouds,-4.3831,-70.0311,CASA AVALIADA
662,Kirakira,SB,80.15,overcast clouds,-10.4544,161.9205,SanBiz Lodge
663,Libreville,GA,79.86,light rain,0.3925,9.4537,Le Méridien Re-Ndama
665,Takoradi,GH,83.7,light rain,4.8845,-1.7554,Raybow International Hotel
666,Madinat Sittah Uktubar,EG,73.0,scattered clouds,29.8167,31.05,Happy Kennel Academy
671,Luganville,VU,77.32,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
672,Panguna,PG,67.73,scattered clouds,-6.3164,155.4848,
674,Mungwi,ZM,65.26,overcast clouds,-10.1732,31.3694,
677,Mayumba,GA,78.82,overcast clouds,-3.432,10.6554,LIKWALE LODGE
679,Cairns,AU,76.06,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
680,Florianopolis,BR,74.7,overcast clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
681,Mamallapuram,IN,84.25,clear sky,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
684,Maurawan,IN,80.64,clear sky,26.4333,80.8833,mahi sanstha
685,Taunggyi,MM,66.33,overcast clouds,20.7833,97.0333,True Treasure Hotel
